pile_idx1,pile_idx2,pile_name1,pile_name2,term,term_idx,mds_xcoord,mds_ycoord,neighbors1,neighbors2,performances
27,24,loud,hitting_the_piano,clanking,23,0.52337164,0.48426023,"[2, 13, 67, 69, 85, 92, 118]","[0, 15, 20, 22, 132, 141, 145]","[25, 35]"
41,12,sterile,controlled,clean,24,0.76003766,0.15057446,"[25, 43, 117, 128]","[18, 31, 38, 52, 130, 131]","[5, 7, 12, 16, 18, 25, 38, 39, 43, 44, 47, 49, 50, 52]"
41,6,sterile,articulated,clear,25,0.28795657,-0.12688552,"[24, 43, 117, 128]","[1, 13, 49, 86, 118, 126]","[2, 7, 12, 14, 16, 18, 24, 26, 27, 32, 39, 41, 44, 49, 50]"
9,15,clumsy,dirty_pile,clumsy,26,-0.21389253,-0.8274627,[],"[9, 39, 63, 121, 138]","[26, 30, 31, 42]"
10,28,cold,machine-like,cold,27,0.72507566,-0.091832064,"[30, 40, 71, 107]","[43, 71, 88, 92, 93, 107, 109, 117, 127, 128, 133, 140, 143]","[2, 3, 5, 8, 10, 13, 16, 25, 42, 47, 52]"
19,33,expressive,puppies,colorful,28,0.13387911,0.5544092,"[29, 38, 53, 112]","[14, 32, 45, 50, 56, 64, 66, 79, 80, 84, 85, 102]","[1, 27, 45]"
19,11,expressive,complex,complex,29,-0.13140652,0.11639545,"[28, 38, 53, 112]","[19, 78, 94]",[11]
10,30,cold,military,conservative,30,0.4118232,-0.65014887,"[27, 40, 71, 107]","[7, 35, 37, 47, 87, 96, 125, 142]",[17]
36,12,robotic,controlled,controlled,31,0.6758919,-0.2811653,"[8, 11, 44, 52, 87, 88, 93, 109, 127, 131, 133, 140, 142, 143]","[18, 24, 38, 52, 130, 131]","[15, 18, 38, 39, 49]"
43,33,weightless,puppies,dancing,32,-0.13546035,0.41926524,"[4, 12, 57, 58, 83, 98, 100, 116, 123, 148]","[14, 28, 45, 50, 56, 64, 66, 79, 80, 84, 85, 102]","[2, 27]"
13,29,dark,melancholic,dark,33,0.34146655,0.17595333,"[125, 149]","[34, 69, 97, 114, 122, 149]","[7, 9, 13, 19, 32, 37, 39, 40, 42, 43, 46, 47]"
35,29,reflected,melancholic,deep,34,-0.04160798,-0.33185408,"[19, 101, 103, 104, 129, 137]","[33, 69, 97, 114, 122, 149]","[3, 7]"
1,30,Gould1,military,deliberate,35,0.30680948,-0.7406571,"[10, 37, 54, 75, 78]","[7, 30, 37, 47, 87, 96, 125, 142]","[1, 9, 14, 33]"
40,18,soft,ethereal,delicate,36,-0.7737583,0.042725097,"[42, 65, 89, 124, 134]","[4, 12, 57, 59, 83, 124, 136, 148]","[3, 7, 9, 10, 12, 14, 19, 32, 43, 47, 49, 50]"
1,30,Gould1,military,determined,37,0.29581752,-0.7333661,"[10, 35, 54, 75, 78]","[7, 30, 35, 47, 87, 96, 125, 142]","[11, 18, 39, 40]"
19,12,expressive,controlled,differentiated,38,0.6807038,0.2581468,"[28, 29, 53, 112]","[18, 24, 31, 52, 130, 131]","[9, 17, 26, 33, 47, 50]"
14,15,dirty,dirty_pile,dirty,39,-0.26338154,-0.8132989,"[9, 63, 108, 121, 138]","[9, 26, 63, 121, 138]","[32, 34, 41]"
10,25,cold,impressionist,distant,40,0.12289305,-0.6325964,"[27, 30, 71, 107]","[42, 101, 106, 115, 137]","[1, 10, 15, 17, 24, 36, 37, 44, 45, 46, 51]"
26,0,intense,Beethoven,dramatic,41,-0.5748654,0.46010172,"[49, 61, 77, 139, 146]","[48, 53, 77, 98, 99, 103, 105, 110, 112, 123, 139]","[3, 11, 12, 13, 15, 16, 17, 18, 19, 24, 26, 35, 36, 38, 40]"
40,25,soft,impressionist,dreamy,42,-0.10877532,-0.5989717,"[36, 65, 89, 124, 134]","[40, 101, 106, 115, 137]","[3, 6, 7, 10, 11, 15, 26, 31, 32, 35, 43, 46, 49, 50, 51]"
41,28,sterile,machine-like,dry,43,0.7476162,-0.046764303,"[24, 25, 117, 128]","[27, 71, 88, 92, 93, 107, 109, 117, 127, 128, 133, 140, 143]","[6, 7, 8, 16, 18, 25, 27, 30, 33, 38, 40, 42, 52]"
36,7,robotic,bland,dull,44,0.62321985,-0.38457093,"[8, 11, 31, 52, 87, 88, 93, 109, 127, 131, 133, 140, 142, 143]","[5, 8, 11, 119]","[1, 9, 34]"
21,33,fast,puppies,eager,45,0.10182924,0.6682212,"[14, 20, 51, 56, 64, 68, 70, 73, 105, 113]","[14, 28, 32, 50, 56, 64, 66, 79, 80, 84, 85, 102]","[33, 37]"
39,8,simple,childhood,easy,46,-0.4978515,-0.61596954,"[60, 120, 130]","[21, 76, 120]","[32, 33, 51]"
16,30,elegant,military,elegant,47,0.40377268,-0.6846029,[96],"[7, 30, 35, 37, 87, 96, 125, 142]","[6, 7, 33, 50]"
17,0,emotional,Beethoven,emotional,48,-0.4800406,0.40545568,"[50, 55, 74, 81, 84, 91, 94, 97, 99, 110]","[41, 53, 77, 98, 99, 103, 105, 110, 112, 123, 139]","[3, 8, 10, 11, 19, 31, 36, 43, 44, 46, 47, 48, 49, 50, 51]"
26,6,intense,articulated,emphatic,49,-0.10109537,0.010447551,"[41, 61, 77, 139, 146]","[1, 13, 25, 86, 118, 126]","[25, 40, 43]"
17,33,emotional,puppies,energetic,50,-0.073848255,0.43687785,"[48, 55, 74, 81, 84, 91, 94, 97, 99, 110]","[14, 28, 32, 45, 56, 64, 66, 79, 80, 84, 85, 102]","[1, 11, 18, 24, 30, 33, 38, 52]"
21,2,fast,Gould2,erratic,51,0.17777437,0.7902697,"[14, 20, 45, 56, 64, 68, 70, 73, 105, 113]","[72, 144]","[11, 25, 30, 34, 45]"
36,12,robotic,controlled,etude-like,52,0.68238205,-0.27802888,"[8, 11, 31, 44, 87, 88, 93, 109, 127, 131, 133, 140, 142, 143]","[18, 24, 31, 38, 130, 131]",[]
19,0,expressive,Beethoven,expressive,53,-0.5543621,0.46269625,"[28, 29, 38, 112]","[41, 48, 77, 98, 99, 103, 105, 110, 112, 123, 139]","[1, 3, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 24, 26, 30, 33, 35, 36, 37, 38, 39, 40, 43, 44, 45, 49, 50, 51]"
1,20,Gould1,false,fake,54,0.123608544,-0.810195,"[10, 35, 37, 75, 78]","[75, 81]","[2, 48]"
17,32,emotional,professional,fantastic,55,-0.37362033,-0.13689132,"[48, 50, 74, 81, 84, 91, 94, 97, 99, 110]","[10, 60, 62, 91, 104, 108, 111, 129, 146]","[16, 26]"
21,33,fast,puppies,fast,56,0.117790885,0.6727269,"[14, 20, 45, 51, 64, 68, 70, 73, 105, 113]","[14, 28, 32, 45, 50, 64, 66, 79, 80, 84, 85, 102]","[1, 5, 7, 10, 11, 13, 15, 16, 17, 26, 27, 30, 32, 33, 36, 37, 38, 39, 41, 43, 46, 52]"
43,18,weightless,ethereal,floating,57,-0.7697874,0.119487315,"[4, 12, 32, 58, 83, 98, 100, 116, 123, 148]","[4, 12, 36, 59, 83, 124, 136, 148]","[1, 3, 7, 13, 19, 50]"
43,31,weightless,peaceful,flowing,58,-0.73340935,-0.12064759,"[4, 12, 32, 57, 83, 98, 100, 116, 123, 148]","[16, 17, 65, 82, 89, 90, 100, 116, 134, 147]","[1, 3, 6, 7, 9, 10, 13, 16, 17, 19, 32, 36, 40, 43, 46, 49]"
34,18,quiet,ethereal,fragile,59,-0.7628185,0.07299207,"[16, 106, 119, 136]","[4, 12, 36, 57, 83, 124, 136, 148]","[9, 50]"
39,32,simple,professional,free,60,-0.4322002,-0.5229488,"[46, 120, 130]","[10, 55, 62, 91, 104, 108, 111, 129, 146]","[18, 32, 33]"
26,22,intense,frenetic,frenetic,61,-0.29425892,0.7184551,"[41, 49, 77, 139, 146]","[2, 3, 6, 67, 68, 70, 73, 74, 95, 113, 135]","[26, 32, 52]"
37,32,round,professional,full,62,-0.51455,-0.44594958,"[17, 82, 90, 111, 147]","[10, 55, 60, 91, 104, 108, 111, 129, 146]","[7, 15, 25, 36, 43, 44]"
14,15,dirty,dirty_pile,fuzzy,63,-0.24127124,-0.81204444,"[9, 39, 108, 121, 138]","[9, 26, 39, 121, 138]","[30, 42]"
21,33,fast,puppies,galloping,64,0.11711704,0.6593597,"[14, 20, 45, 51, 56, 68, 70, 73, 105, 113]","[14, 28, 32, 45, 50, 56, 66, 79, 80, 84, 85, 102]","[2, 30, 41, 52]"
40,31,soft,peaceful,gentle,65,-0.7397417,-0.26617476,"[36, 42, 89, 124, 134]","[16, 17, 58, 82, 89, 90, 100, 116, 134, 147]","[3, 6, 7, 10, 19, 31, 37, 42, 45, 46, 50, 51]"
